yr_cde,trm_cde,crs_comp1,crs_comp2,crs_comp3,crs_title,credit_hrs,crs_capacity,crs_enrollment,monday_cde,tuesday_cde,wednesday_cde,thursday_cde,friday_cde,begin_tim,end_tim,last_name,first_name,preferred_name,comment_txt
2018,10,SPAN,321,B,FOUNDATIONS - LATIN AMER SOCIETIES,3,12,16,M,,W,,F,11:00:00 AM,11:50:00 AM,Quintero,Julio,,"SPAN 300 LEVEL, INSTR OK"
2018,10,SPAN,340,A,ADVANCED GRAMMAR,3,35,5,M,,W,,F,10:00:00 AM,10:50:00 AM,Quintero,Julio,,SPAN 306
2018,10,SPAN,424,A,HISPANICS IN THE U.S.,3,25,7,,T,,R,,11:30:00 AM,12:45:00 PM,Forteza,Deborah,,SPAN 306
2018,10,SSFT,210,A,SCIENCE AND RELIGION,2,40,39,M,,,,,6:30:00 PM,8:10:00 PM,Seybold,Kevin,,HUMA 102 AND 1 LAB SCIENCE
2018,10,SSFT,212,A,"SCIENCE, FAITH, & TECHNOLOGY",2,50,50,M,,W,,,9:00:00 AM,9:50:00 AM,Dudt,Jan,,HUMA 102 AND 1 LAB SCIENCE
2018,10,SSFT,212,B,"SCIENCE, FAITH, AND TECHNOLOGY",2,50,50,M,,W,,,1:00:00 PM,1:50:00 PM,Dudt,Jan,,HUMA 102 AND 1 LAB SCIENCE
2018,10,SSFT,212,C,"SCIENCE, FAITH, & TECHNOLOGY",2,40,40,,,W,,F,11:00:00 AM,11:50:00 AM,Marsch,Glenn,,HUMA 102 AND 1 LAB SCIENCE
2018,10,SSFT,212,D,"SCIENCE, FAITH, & TECHNOLOGY",2,40,39,,,W,,F,12:00:00 PM,12:50:00 PM,Marsch,Glenn,,HUMA 102 AND 1 LAB SCIENCE
2018,10,SSFT,212,E,"SCIENCE, FAITH, AND TECHNOLOGY",2,40,20,,T,,R,,11:30:00 AM,12:45:00 PM,Anderson,Erik,,HUMA 102 AND 1 LAB SCIENCE
2018,10,SSFT,212,F,"SCIENCE, FAITH, AND TECHNOLOGY",2,40,40,,T,,R,,1:00:00 PM,2:15:00 PM,Anderson,Erik,,HUMA 102 AND 1 LAB SCIENCE
2018,10,SSFT,212,G,"SCIENCE, FAITH, AND TECHNOLOGY",2,40,41,M,,,,,6:30:00 PM,8:10:00 PM,Marsch,Glenn,,HUMA 102 AND 1 LAB SCIENCE
2018,10,THEA,251,A,ACTING,3,20,16,,T,,R,,1:00:00 PM,2:15:00 PM,Craig,Betsy,,
2018,10,THEA,259,A,THEATRE PRACTICUM,1,60,14,,,,,,,,Wolfe,Daniel,,
2018,10,THEA,261,A,STAGECRAFT,3,15,14,,T,,R,,2:30:00 PM,3:45:00 PM,Wolfe,Daniel,,UNDERGRAD STUDENTS ONLY
2018,10,THEA,320,A,STAGE DIRECTION,3,10,7,,T,,R,,2:30:00 PM,3:45:00 PM,Craig,Betsy,,THEA 251
2018,10,WRIT,101,A,FOUNDATIONS OF ACADEMIC DISCOURSE,3,18,18,M,,W,,F,8:00:00 AM,8:50:00 AM,Loretto,Adam,,
2018,10,WRIT,101,B,FOUNDATIONS OF ACADEMIC DISCOURSE,3,18,18,M,,W,,F,10:00:00 AM,10:50:00 AM,Hogsette,David,,
2018,10,WRIT,101,C,FOUNDATIONS OF ACADEMIC DISCOURSE,3,18,18,M,,W,,F,10:00:00 AM,10:50:00 AM,Mayo,Joshua,Josh,
2018,10,WRIT,101,D,FOUNDATIONS OF ACADEMIC DISCOURSE,3,18,18,M,,W,,F,11:00:00 AM,11:50:00 AM,Hogsette,David,,
2018,10,WRIT,101,E,FOUNDATIONS OF ACADEMIC DISCOURSE,3,18,18,M,,W,,F,12:00:00 PM,12:50:00 PM,Loretto,Adam,,
2018,10,WRIT,101,F,FOUNDATIONS OF ACADEMIC DISCOURSE,3,18,19,M,,W,,F,1:00:00 PM,1:50:00 PM,Loretto,Adam,,
2018,10,WRIT,101,G,FOUNDATIONS OF ACADEMIC DISCOURSE,3,18,18,M,,W,,F,3:00:00 PM,3:50:00 PM,Rine,C,Rebecca,
2018,10,WRIT,101,H,FOUNDATIONS OF ACADEMIC DISCOURSE,3,18,18,,T,,R,,10:05:00 AM,11:20:00 AM,Rine,C,Rebecca,
2018,10,WRIT,101,I,FOUNDATIONS OF ACADEMIC DISCOURSE,3,18,18,,T,,R,,10:05:00 AM,11:20:00 AM,Mayo,Joshua,Josh,
2018,10,WRIT,101,J,FOUNDATIONS OF ACADEMIC DISCOURSE,3,18,18,,T,,R,,11:30:00 AM,12:45:00 PM,Rine,C,Rebecca,
2018,10,WRIT,101,K,FOUNDATIONS OF ACADEMIC DISCOURSE,3,18,18,,T,,R,,11:30:00 AM,12:45:00 PM,Mayo,Joshua,Josh,
2018,10,WRIT,101,L,FOUNDATIONS OF ACADEMIC DISCOURSE,3,18,18,,T,,R,,1:00:00 PM,2:15:00 PM,Waha,Kristen,,
2018,10,WRIT,101,M,FOUNDATIONS OF ACADEMIC DISCOURSE,3,18,19,,T,,R,,1:00:00 PM,2:15:00 PM,Marsch,Cynthia,Cindy,
2018,10,WRIT,101,N,FOUNDATIONS OF ACADEMIC DISCOURSE,3,18,20,,T,,R,,2:30:00 PM,3:45:00 PM,Marsch,Cynthia,Cindy,
2018,10,WRIT,271,A,CREATIVE WRITING,3,20,17,,T,,R,,11:30:00 AM,12:45:00 PM,Potter,Eric,,
2018,10,WRIT,290,A,STUDY: DEVELOPING CHARACTERS,3,10,3,,T,,R,,10:05:00 AM,11:20:00 AM,Miller,Kimberly,,
2018,30,ABRD,300,A,STUDY ABROAD,0,0,15,,,,,,,,Johnson,Lois,,
2018,30,ACCT,202,A,PRINCIPLES OF ACCOUNTING II,3,33,36,M,,W,,F,8:00:00 AM,8:50:00 AM,McFeaters,Michelle,,ACCT 201
2018,30,ACCT,202,A,PRINCIPLES OF ACCOUNTING II,3,33,36,,,,R,,4:00:00 PM,5:50:00 PM,McFeaters,Michelle,,
2018,30,ACCT,202,B,PRINCIPLES OF ACCOUNTING II,3,33,32,M,,W,,F,11:00:00 AM,11:50:00 AM,Stone,Jennifer,Nicole,ACCT 201
2018,30,ACCT,202,B,PRINCIPLES OF ACCOUNTING II,3,33,32,M,,,,,4:00:00 PM,5:50:00 PM,Stone,Jennifer,Nicole,
2018,30,ACCT,202,C,PRINCIPLES OF ACCOUNTING II,3,33,29,M,,W,,F,12:00:00 PM,12:50:00 PM,Stone,Jennifer,Nicole,ACCT 201
2018,30,ACCT,202,C,PRINCIPLES OF ACCOUNTING II,3,33,29,M,,,,,4:00:00 PM,5:50:00 PM,Stone,Jennifer,Nicole,
2018,30,ACCT,202,D,PRINCIPLES OF ACCOUNTING II,3,33,41,M,,W,,F,3:00:00 PM,3:50:00 PM,Russin,Amy,,ACCT 201
2018,30,ACCT,202,D,PRINCIPLES OF ACCOUNTING II,3,33,41,M,,,,,4:00:00 PM,5:50:00 PM,Russin,Amy,,
2018,30,ACCT,202,E,PRINCIPLES OF ACCOUNTING II,3,33,28,,T,,R,,10:05:00 AM,11:20:00 AM,Baglia,David,,ACCT 201
2018,30,ACCT,202,E,PRINCIPLES OF ACCOUNTING II,3,33,28,M,,,,,4:00:00 PM,5:50:00 PM,Baglia,David,,
2018,30,ACCT,302,A,INTERMEDIATE ACCOUNTING II,3,24,24,M,,W,,F,10:00:00 AM,10:50:00 AM,Baglia,David,,ACCT 301
2018,30,ACCT,302,A,INTERMEDIATE ACCOUNTING II,3,24,24,,,,R,,4:00:00 PM,5:50:00 PM,Baglia,David,,
2018,30,ACCT,302,B,INTERMEDIATE ACCOUNTING II,3,24,20,M,,W,,F,11:00:00 AM,11:50:00 AM,Baglia,David,,ACCT 301
2018,30,ACCT,302,B,INTERMEDIATE ACCOUNTING II,3,24,20,,,,R,,4:00:00 PM,5:50:00 PM,Baglia,David,,
2018,30,ACCT,321,A,ACCT INFORMATION SYSTEMS,3,24,25,,T,,R,,10:05:00 AM,11:20:00 AM,Stone,Jennifer,Nicole,"ACCT 202, JR STANDING"
2018,30,ACCT,321,B,ACCT INFORMATION SYSTEMS,3,24,18,,T,,R,,11:30:00 AM,12:45:00 PM,Stone,Jennifer,Nicole,"ACCT 202, JR STANDING"
